10 رمضان,30.0914337,31.2706511
15 مايو,29.8907854,31.34272619999999
15 مايو بشبرا,30.085551,31.2453488
23 يوليو,30.1665499,31.3469979
أبو الريش,30.02948469999999,31.2349143
أبو الريش الجديدة,30.0267732,31.2356899
أبو الغيط,30.0805772,31.20517509999999
أبو الفدا,30.0691791,31.2180517
أبو النمرس,29.9517097,31.219709
أبو الهول,29.9878349,31.4770388
أبو رواش,30.0822789,31.2843355
أبو زعبل,30.241521,31.3522389
أبو وافيه,30.0915922,31.2564707
أحمد حلمى,30.0862486,31.2558339
أسعاف,30.0107535,31.20961299999999
أكاديمية الشرطة,30.046062,31.4171836
أكاديمية مبارك,30.018889,31.4993852
أم خنان,29.912983,31.2483291
إبراهيم بك,30.0420881,31.2541041
ابو العلا,30.0801204,31.2564989
ابوبكر الصديق,30.1036046,31.2587555
اثر النبي,29.9886505,31.2325889
احمد,30.0239678,31.2645857
احمد الزمر,30.0470706,31.36020749999999
احمد الزيات,30.0320882,31.2041656
احمد بدوى,30.0680075,31.2483888
احمد تيسير,30.0761272,31.327192
احمد حلمي 15,30.0652004,31.2482726
احمد زكى,30.080353,31.2815584
احمد سعيد,30.0648901,31.2724738
احمد عرابي,30.0995731,31.273435
احمد عصمت,30.1256209,31.3322787
احمد فخرى,30.0654653,31.349032
احمد ماهر,30.0434136,31.2552292
الأباجية,30.00682669999999,31.2969674
الأزهر,30.066737,31.31974499999999
الألف مسكن,30.0883176,31.2546627
الأميرية,30.110384,31.30007299999999
الإباجية,30.00682669999999,31.2969674
الإسعاف,30.0107535,31.20961299999999
الاخصاص,30.07020649999999,31.2197106
الاسكندريه,31.2533151,30.00000069999999
الامام الشافعى,30.0118917,31.2656762
الامام الليثى,30.0201361,31.2561523
الاميريه,30.110384,31.30007299999999
الاوتوستراد,29.9820124,31.2890837
البدرشين,30.0366754,31.2420244
البراجيل,30.0778259,31.1771952
البساتين,29.9749458,31.2798033
البطل احمد عبد العزيز,30.0526478,31.2070032
البعوث,30.05623,31.2765295
البعوث الاسلاميه,30.05623,31.2765295
التبين,29.7816181,31.3026883
التجمع الخامس,30.0084868,31.4284756
التجنيد,30.0908,31.3111
التونسى,30.01130689999999,31.2653471
الثورة,30.1035568,31.2780054
الجامعة,30.0392302,31.2784782
الجبرتي,30.0883154,31.3072964
الجبل الأحمر,30.0004573,31.2315659
الجبل الأصفر,30.2013787,31.3555244
الجلاء,30.1002998,31.243105
الجو لف,30.0790839,31.3284285
الجيزة,30.0444196,31.2357116
الجيزة ( كلية الزراعة ),30.0181382,31.2080564
الجيزة دائري,30.1441708,31.2482438
الجيش,30.0564106,31.2591205
الحجاز,30.0554077,31.1986995
الحديد والصلب,30.0504562,31.2423389
الحزانيه,30.0459174,31.2320089
الحصة,30.403372,31.1898792
الحكم,30.1587131,31.425062
الحلمية,30.03591819999999,31.2548271
الحوامدية,29.9081294,31.2569138
الحى الثامن,30.0595267,31.3581131
الحى السابع,30.0469887,31.32699869999999
الحى السادس,30.2088111,31.465614
الحي العاشر,30.0242628,31.3884671
الحي العباسية,30.0650075,31.2714452
الخانكة,30.1338497,31.3570222
الخلفاوى,30.0974814,31.2814525
الخليفة القاهر,30.0270266,31.2518898
الخيالة,29.9993869,31.2569996
الدائري,30.06189,31.4189794
الدراسة,30.0484558,31.2717177
الدقى,30.0382232,31.2114114
الدقى التحرير,30.0439275,31.2317191
الدوران,30.08935959999999,31.24261
الدويقة,30.0444196,31.2357116
الدويقة الجديدة,30.0078354,31.31426309999999
الزاوية,30.0444196,31.2357116
الزاوية الحمراء,30.0908669,31.2685086
الزمالك,30.0609422,31.219709
الزهويين,30.0459174,31.2320089
الزيتون,30.1040601,31.3026883
السادات,30.0341972,31.2503734
السد,30.0837083,31.2882003
السد العالي,30.0809063,31.262256
السكاكنيى,30.0636573,31.2662132
السلام,30.10248229999999,31.2760401
السلام الاسكندريه,31.269488,30.01072229999999
السلطان برقوق,30.032327,31.2555896
السواح,30.1053336,31.2919756
مصر والسودان,30.0793082,31.2788378
السيدة,30.0320883,31.2411182
السيدة زينب,29.9954437,31.2462837
السيدة زينب للانفاق,30.0896731,31.272815
السيدة عائشة,30.0903279,31.2590972
السيدة عائشة كلية البنات الإسل,30.0625,31.311332
السيدة نفيسة,30.0225372,31.2471919
الشارع الجديد,30.1307415,31.2878381
الشرابية,30.0763974,31.2597753
الشيخ رمضان,30.0932587,31.2550499
الصف,29.6320606,31.2969674
الطالبية,29.973941,31.277196
الطريق الدائري,30.06189,31.4189794
الطريق الزراعى,30.8128601,30.750244
الطوب الرملى,30.0413872,31.3633528
الطيران,30.067425,31.32465
العبور,30.2283408,31.4798948
العتبة,30.052346,31.246803
العتبة المنعم رياض,30.1356824,31.2495865
العشرين,30.0274285,31.1842234
العطارة,30.0566505,31.2475558
العمرانية,30.0444196,31.2357116
الفردوس,30.0590002,31.2766081
القاهرة الجديدة,30.007413,31.4913182
القصر العينى,30.0309241,31.2275802
القطامية,29.9651337,31.4791453
القلج,30.178888,31.3533871
القلعة,30.0298913,31.2608168
القللى,30.0622173,31.240817
القناطر,30.0444196,31.2357116
القناطر الخيرية,30.0444196,31.2357116
القومية العربية,30.0938575,31.268387
الكابلات,30.1142411,31.295689
الكنيسة,30.08251529999999,31.2870011
الماظة,30.083436,31.34147299999999
المبيضة,30.0795316,31.2404593
المجاورات,30.1208226,31.6058236
المجزر الالى,29.9998221,31.2705042
المحكمة,30.0609503,31.2302662
المخبز الالى,30.1792927,31.4101253
المدينة,30.0444196,31.2357116
المدينة ألجامعيه,30.03585309999999,31.2790182
المرج,30.1521015,31.3357302
المريوطية,30.0575218,31.2359298
المسلة,30.1312502,31.3092704
المشروع,30.0822925,31.1978621
المصنع الحربي,30.4626729,31.1904035
المطار,30.107684,31.379042
المطار الجديد,30.1127516,31.3484448
المطبعة,30.0788558,31.2222794
المطراوى,29.9799343,31.2675044
المطرية,30.1312173,31.3103292
المطرية المعرض,30.11717299999999,31.2867476
المظلات,30.1040643,31.2455893
المعادى,29.9626961,31.2769423
المعادى الجديدة,30.086061,31.33113699999999
المعرض,30.061383,31.222922
المعصرة,30.1298584,31.24009359999999
المقابر,30.0202521,31.251059
المقطم,30.006124,31.3325821
الملك الصالح,30.012647,31.2267829
الملك فيصل,30.1426458,31.2457973
المماليك,30.0434498,31.2710582
المماليك القصر العيني,30.0434498,31.2710582
المنوات,29.9320321,31.2542742
المنيب,30.0947006,31.2428082
الموظفين,30.5885114,32.2643235
الميثاق,30.0825392,31.2607585
النزهة,30.0659494,31.2686247
النزهة الجديدة,30.0997817,31.3431028
النهضة,30.1715608,31.4399041
النيل,30.0444196,31.2357116
الهايكستب,30.137407,31.388598
الهرم,30.0109313,31.2053475
الهضبة الوسطي,29.9937562,31.3169891
الوايلى,30.0703692,31.2826641
الوحدة,30.1353745,31.256539
الوحدة العربية,30.0928214,31.2684834
الوراق,30.0444196,31.2357116
الوفاء والأمل,30.0210896,31.351304
امبابة,30.0444196,31.2357116
امبابة عا ة,30.0444196,31.2357116
امتداد,30.0617927,31.5113064
امتداد رمسيس,30.0691741,31.2911617
اوسيم,30.0444196,31.2357116
اول المنيل,30.01496959999999,31.2247485
باب الشعرية,30.0553906,31.2529962
باب اللوق,30.047039,31.2404593
باب الوزير,30.0364531,31.2599345
باسوس,30.1338024,31.2159515
بشتيل,30.0780744,31.197383
بلقس,31.1947836,29.9309473
بنها,30.0918946,31.2689548
بنى مجدول,30.0452282,31.1178572
بهتيم عباسية,30.0650075,31.2714452
بورسعيد,30.0479344,31.2548031
بولاق,30.0631325,31.2311579
بولاق الدكرور,30.0444196,31.2357116
بولاق الدكرور الدراسة,30.0378142,31.1895656
بيجام,30.1298728,31.2540523
بين السرايات,30.0663975,31.2831693
تحرير,30.0440344,31.23242219999999
ترسا,29.9647675,31.1996708
ترعة الإسماعيلية,30.1076177,31.2485693
ترعة الجبل,30.07852549999999,31.2790447
ترعة السواحل,30.104612,31.21403219999999
ترعة المريوطية,29.9883,31.1509
ترعة المنصورية,30.0507479,31.2692208
ترعة جزيرة بدران,30.0741579,31.2345763
ثكنات المعادى,29.9533217,31.26297
جامع,30.0420265,31.248534
جامع عمرو,30.0119726,31.230475
جامعة الازهر,30.066737,31.31974499999999
جامعة الدول العربية,30.0520765,31.20082129999999
جامعة القاهرة,30.02242,31.2113829
جامعة جيزة,30.0223946,31.2068151
جامعه,30.0392302,31.2784782
جامعه دائري,30.1211269,31.2890394
جراج القطامية,29.9740385,31.4209863
جراج المستقبل,30.0929367,31.301212
جزيرة العرب,30.0543411,31.1992851
جزيرة محمد,30.1174461,31.2025336
جسر السويس,30.0988601,31.314828
جيزه,30.0130557,31.2088526
حدائق,30.077743,31.27193549999999
حدائق القبة,30.08595949999999,31.2826641
حدائق النصر,30.10330729999999,31.26543539999999
حدائق زينهم,30.0231455,31.24976
حسن صبرى,30.0559253,31.2197472
حلوان,29.8483192,31.3368529
حوامديه,29.9081294,31.2569138
خضر التونى,30.07545309999999,31.3216523
دار السلام,29.9895151,31.2540523
دقى,30.0899784,31.2483118
دوران شبرا,30.08935959999999,31.24261
رئاسة الهيئة,30.089878,31.312741
رابعة,30.13800819999999,31.2578347
رابعة العدوية,30.0684433,31.321994
ربيع الجيزى,30.0512236,31.2465621
رمسيس,30.0661095,31.2589096
روض الفرج.,30.07202509999999,31.2368819
زاوية أبو مسلم,30.1214942,31.2997472
زنين,30.0264089,31.23920379999999
زهراء,30.1010947,31.2436786
زهراء المعادى,29.9619782,31.3031879
زهراء عين شمس,30.1303408,31.3296025
زهراء م . نصر,30.0634026,31.3351534
زهراء مصر القديمة,29.999406,31.235139
زينب,30.0324026,31.2391032
ساقية مكي,29.9942494,31.2151604
سبيكو,30.1806073,31.4130225
سراى القبة,30.08595949999999,31.2826641
سعد سليم,30.1049695,31.253644
سفير,30.035321,31.213884
سقيل,30.0756524,31.2814977
سليم الأول,30.1078921,31.3137509
سنترال العمرانية,29.992777,31.191235
سندوه,30.0668358,31.2727594
سنهرة,30.0834349,31.2319484
سوق 6 أكتوبر,30.06254,31.1978154
سوق الجملة بمدينة 6 أكتوبر,30.0438997,31.1787723
سوق العبور,30.164164,31.46591699999999
ش 6 أكتوبر,30.0647444,31.2529501
ش الأهرام,30.0050426,31.2958736
ش نادى الرحلات,30.047299,31.237349
شارع الترعه,30.1343671,31.235935
شارع الجيزة,30.0963576,31.3261599
شارع شبرا,30.085551,31.2453488
شارع عبد العزيز,30.046952,31.247905
شارع مراد,30.0648547,31.2585128
شبرا,30.085551,31.2453488
شبرا الخيمة,30.085551,31.2453488
شبرا المظلات,30.085551,31.2453488
شبين القناطر,30.2976683,31.2969674
شرق شبرا,30.0742121,31.2483291
شرق شبرا الخيمة,30.0444196,31.2357116
شق الثعبان,30.0583977,31.2490728
شهاب,30.1040796,31.2771244
شيخون,30.0308612,31.2545408
شيراتون,30.0391947,31.2203162
صفط,30.104,31.3362
صفط اللبن,30.0278575,31.1948472
صقر قريش,30.1071625,31.3720311
صلاح سالم,30.04221849999999,31.2682585
طريق الحصة,29.9792408,31.341052
طريق الشرقاوية,30.1283304,31.2349588
طريق القطامية,29.9635333,31.4784002
طريق النصر,30.048273,31.2830383
طلبه,29.971071,31.26117189999999
طنان,30.1153525,31.290151
ع رياض,30.7940799,30.9823891
عباس العقاد,30.0565078,31.3378816
عباسية,30.5348357,31.717099
عبد,30.1509625,31.37491589999999
عبد االله العربى,30.0465857,31.3283852
عبد المنعم رياض,30.0871609,31.2594321
عبد المنعم رياض الألف مسكن,30.1147034,31.3357052
عبده باشا,30.0641973,31.2760092
عبود,30.070456,31.2594514
عتبه,30.052346,31.246803
عثمان بن عفان,30.1030022,31.2591677
عرابى,30.0549903,31.2425104
عرب الطويلة,30.1394568,31.3154
عرب المعادى,29.9701495,31.2699793
عزبة,30.09971449999999,31.220233
عزبة النخل,30.1450984,31.3186704
عزبة الهجانة,30.0694956,31.3941835
عزيز المصري,30.0976003,31.2750495
عماد الدين,30.055927,31.2442982
عمارات عثمان,30.0829245,31.2745607
عمر المختار,30.1162984,31.2962967
عمر بن الخطاب,30.0971601,31.2504627
عين الحياه,30.1223214,31.3724293
عين الصيرة,30.0168497,31.24403659999999
عين حلوان,29.8483192,31.3368529
عين شمس,30.1165055,31.319072
غمرة,30.0684784,31.26764379999999
فم الخليج,30.0229841,31.2313083
فيصل,30.0021682,31.1694268
قسم الحدائق,30.093812,31.28395799999999
قصر الضيافة,30.08955349999999,31.3179774
قليوب,30.0444196,31.2357116
قليوب البلد,30.0444196,31.2357116
قليوب المظلات,30.1040643,31.2455893
كال نات,30.0866633,31.324986
كبرى الفنجرى,30.0761734,31.3007076
كرداسة,30.0471082,31.2602236
كفر أبو صير,30.1602946,31.369887
كفر الجبل,30.0722309,31.23816189999999
كفر طهرمس,30.0162059,31.1747592
كفر غطاطى,30.0087234,31.1050647
كلية البنات,30.081103,31.32919089999999
كلية البنات الاسلاميه,30.0625,31.311332
كلية الزراعة,30.1118836,31.2459844
كليه الأزهر,30.0575035,31.3148895
كليه بنات عين شمس,30.0762532,31.2861174
كهرباء الأهرام,30.09178499999999,31.323599
كوبرى 6 أكتوبر,30.0485683,31.2191508
كوبرى احمد عرابى,30.0698849,31.1958546
كوبرى الجامعة,30.02829329999999,31.2238455
كوبرى الجلاء,30.0401305,31.2204071
كوبرى العاشر من رمضان,30.0982119,31.2671478
كوبرى القبة,30.0871604,31.2910618
كوبرى روض الفرج,30.0873956,31.2333395
كوبرى مسطرد,30.1302538,31.2901195
كوبري الشبينى,30.0675943,31.2719467
كوبري عرابي,30.0549903,31.2425104
كورنيش,30.1026616,31.2425104
كورنيش النيل,30.05488,31.229404
كيت كات,30.0622129,31.21431309999999
لاظوغلى,30.0406834,31.232552
للأنفاق دائري,30.09139399999999,31.2804171
م . الطلبة,29.971071,31.26117189999999
م. السلام (أسبيكو),30.1703332,31.4118753
مؤسسة,30.0413787,31.23545649999999
مؤسسة الزكاة,30.1452207,31.3463314
ماسبيرو,30.095855,31.3210606
مجرى العيون,30.0197187,31.2415247
مجمع مدارس الفسطاط,27.2061625,31.1786303
محطة الاتحاد,30.03195269999999,31.18615399999999
محطة السرفيس,30.0730188,31.2844122
محطة الكهرباء,30.1079902,31.2710875
محطة المرج,30.1541899,31.33599229999999
محطة المرج الجديدة,30.1481767,31.3342941
محطة المطرية (المترو),30.113262,31.3139534
محطة طرة,29.9453051,31.2739338
محطة طرة للأنفاق,30.0636647,31.2489618
محطة مترو الأنفاق بالمرج,30.0628377,31.2492806
محور الجمالية,30.0520033,31.2636726
مدينة البعوث,30.05623,31.2765295
مدينة الحرفيين,30.1527556,31.4037561
مدينة السلام (اسكندرية),30.1805243,31.4171831
مدينة السلام القاهرة,30.1703332,31.4118753
مدينة السلام اللبن,29.99937529999999,31.2397298
مدينة الشروق,30.1442115,31.6397184
مدينة الشيخ زايد,30.0491629,30.9761599
مدينة الضباط,29.895925,31.3074579
مدينة العبور,30.2283408,31.4798948
مدينة القانونيين,30.067233,31.333392
مدينة النهضة,30.0639413,31.3280081
مدينة النور,30.1034488,31.2608758
مدينة نصر,30.0566104,31.3301076
مدينه الطلبة,30.078476,31.2881619
مر صفا,30.05705829999999,31.2228057
مراد,30.0648547,31.2585128
مزلقان الدويقة,30.0712888,31.2556081
مزلقان زكى,30.08621399999999,31.2552147
مساكن الأميرية,30.117595,31.3018022
مساكن الحرفيين بالدويقة,30.0378392,31.2901102
مساكن الحلمية,30.0273006,31.2488309
مساكن الدويقة,29.9897103,31.26729809999999
مساكن الشباب,30.2537961,31.4670422
مساكن الشروق,30.0682104,31.3602231
مساكن الضباط,30.0807793,31.3787531
مساكن الماظة,30.117595,31.3018022
مساكن النصر,30.0780308,31.2312316
مساكن الوحدة,30.01392,31.1962269
مساكن زينهم,30.02338,31.2449815
مساكن شيرتوان,30.1072021,31.3744877
مساكن عثمان,30.0829245,31.2745607
مساكن عين شمس,30.117595,31.3018022
مساكن عين شمس م . الحجاز,30.0415797,31.2321048
مستشفى الحسين,30.0452565,31.2659204
مسرة,30.0733859,31.2423554
مسطرد,30.1412348,31.2869324
مسكن اسكو,30.1203149,31.252768
مسكن الطوب الرملي,30.0413872,31.3633528
مشتهر,30.0464722,31.2445615
مصر إسكندرية الزراعي,30.8128601,30.750244
مصر الإسماعيلية,30.5885114,32.2643235
مصر الجديدة,30.0909837,31.322709
مصطفى النحاس,30.094034,31.2801336
مطار القاهرة,30.107405,31.365337
معهد التكنولوجيا,30.0587101,31.2216722
معهد الخدمة الاجتماعية,30.031374,31.231097
مكرم عبيد,30.0444196,31.2357116
منشأة القناطر,30.8142758,30.8043745
منشية البكري,30.0836126,31.311269
منشية الصدر,30.0852895,31.2876705
منشية ناصر,30.0362303,31.2782522
منطي,30.145387,31.246571
منيرة,30.0810536,31.2025336
منيرة إمبابة,30.079579,31.1984178
منيل,30.0213609,31.2268647
مهمشة,30.073968,31.2640673
موتسيان,29.9843144,31.1907963
موقف المرج,30.165094,31.338507
ميت رهينة,29.8486722,31.2454674
ميت عقبة,30.064794,31.1972361
ميت كنانة,30.1404911,31.2316172
ميدان الأمام,29.9849891,31.2863306
ميدان الاتحاد,30.0898538,31.2577751
ميدان الاسماعيليه,30.0989413,31.2817093
ميدان الجيزة,30.0278481,31.211436
ميدان الحجاز,30.1113033,31.346189
ميدان الحدائق,30.0945285,31.2483426
ميدان الرماية,29.9952124,31.2350319
ميدان الطيران,30.067425,31.32465
ميدان العتبة,30.0433395,31.2272909
ميدان المطرية,30.11537449999999,31.3062568
ميدان لبنان,30.0595671,31.193029
نادى السكة,30.0689857,31.2347997
ناهيا,30.0446692,31.1817914
نخلة المطيعى,30.1009113,31.3415524
نقل جماعى,30.096646,31.319946
نقل جماعى سبيكو,30.0983189,31.335157
نهضة مصر,30.1715608,31.4399041
نوى,30.0590233,31.2633811
هارون,29.9950806,31.3082334
هارون الرشيد,30.0971302,31.3287974
هضبة الهرم,29.9883,31.1509
وراق العرب,30.0969938,31.2111216
وزارة الزراعة,30.0457505,31.2118012
يوسف عباس,30.0666484,31.3197631
